SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,PLAYER_ID
22023,1630173,0022301190,"Apr 14, 2024",NYK vs. CHI,W,19,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,2,0,1,2,3,4,-2,1,Precious Achiuwa,1630173
22023,1630173,0022301175,"Apr 12, 2024",NYK vs. BKN,W,8,2,2,1.0,1,1,1.0,0,0,0.0,0,3,3,0,0,0,0,0,5,3,1,Precious Achiuwa,1630173
22023,1630173,0022301167,"Apr 11, 2024",NYK @ BOS,W,16,1,6,0.167,0,1,0.0,0,0,0.0,2,3,5,0,0,1,1,0,2,-9,1,Precious Achiuwa,1630173
22023,1630173,0022301139,"Apr 07, 2024",NYK @ MIL,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,5,1,Precious Achiuwa,1630173
22023,1630173,0022301119,"Apr 05, 2024",NYK @ CHI,L,19,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,4,0,-2,1,Precious Achiuwa,1630173
22023,1630173,0022301112,"Apr 04, 2024",NYK vs. SAC,W,9,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,3,0,-17,1,Precious Achiuwa,1630173
22023,1630173,0022301096,"Apr 02, 2024",NYK @ MIA,L,27,1,4,0.25,0,0,0.0,0,0,0.0,3,3,6,0,1,0,0,2,2,-9,1,Precious Achiuwa,1630173
22023,1628389,0022301189,"Apr 14, 2024",MIA vs. TOR,W,19,8,10,0.8,0,1,0.0,1,1,1.0,3,3,6,2,3,1,4,1,17,12,1,Bam Adebayo,1628389
22023,1628389,0022301176,"Apr 12, 2024",MIA vs. TOR,W,25,8,10,0.8,1,2,0.5,2,4,0.5,1,5,6,3,0,0,0,1,19,9,1,Bam Adebayo,1628389
22023,1628389,0022301161,"Apr 10, 2024",MIA vs. DAL,L,30,3,13,0.231,0,2,0.0,2,2,1.0,2,1,3,0,0,0,0,2,8,-20,1,Bam Adebayo,1628389
22023,1628389,0022301147,"Apr 09, 2024",MIA @ ATL,W,48,4,8,0.5,2,2,1.0,0,0,0.0,0,7,7,7,3,1,5,2,10,12,1,Bam Adebayo,1628389
22023,1628389,0022301133,"Apr 07, 2024",MIA @ IND,L,37,8,18,0.444,1,4,0.25,3,4,0.75,3,9,12,3,0,1,1,5,20,7,1,Bam Adebayo,1628389
22023,1628389,0022301120,"Apr 05, 2024",MIA @ HOU,W,33,7,12,0.583,0,0,0.0,4,4,1.0,2,10,12,6,1,1,1,2,18,16,1,Bam Adebayo,1628389
22023,1628389,0022301111,"Apr 04, 2024",MIA vs. PHI,L,29,6,15,0.4,1,1,1.0,1,1,1.0,4,7,11,3,0,1,2,2,14,-29,1,Bam Adebayo,1628389
22023,1630534,0022301189,"Apr 14, 2024",TOR @ MIA,L,33,4,11,0.364,0,3,0.0,2,3,0.667,4,2,6,2,2,1,4,3,10,1,1,Ochai Agbaji,1630534
22023,1630534,0022301176,"Apr 12, 2024",TOR @ MIA,L,25,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,2,1,1,0,1,7,-28,1,Ochai Agbaji,1630534
